Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,month
53,Mufasa: The Lion King,"$533,241",5400,1332389.0,2025-12-19,Galaxy Studio,False,12
54,Elio,"$520,055",2478,520055.0,2025-06-20,Galaxy Studio,False,6
55,F1: The Movie,"$514,426",1120,527715.0,2025-06-26,CGV,False,6
56,Smurfs,"$491,006",2176,491030.0,2025-07-18,CGV,False,7
57,A Working Man,"$477,774",1726,534926.0,2025-04-02,CGV,False,4
58,Love Barista,"$444,577",108,444734.0,2025-10-03,CGV,False,10
59,Dark Nuns,"$440,077",2723,538595.0,2025-02-21,CGV Mars Dagitim,False,2
60,The Bride,"$425,657",2566,437718.0,2025-09-05,CGV,False,9
61,The Bad Guys 2,"$407,356",545,407356.0,2025-08-23,Universal Pictures International (UPI),False,8
62,Spirited Away2023 Re-release,"$383,693",2360,383693.0,,unknown,False,
63,Materialists,"$356,381",861,368713.0,2025-07-04,Galaxy Studio,False,7
64,Chainsaw Man - The Movie: Reze Arc,"$355,228",769,366856.0,2025-09-24,CGV,False,9
65,Snow White,"$351,761",3240,351761.0,2025-03-21,CGV,False,3
66,The Demon's Bride,"$340,393",2112,340393.0,2025-02-28,Galaxy Studio,False,2
67,Hitpig,"$338,382",977,427149.0,2025-01-29,CGV Mars Dagitim,False,1
68,Perewangan,"$337,843",2770,337843.0,,CJ Entertainment,False,
69,Where It Began,"$325,559",5064,439510.0,2025-10-29,CGV,False,10
70,Omniscient Reader: The Prophecy,"$317,929",1978,344253.0,2025-07-31,Lotte Entertainment,False,7
71,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$304,860",1164,445113.0,2025-04-30,CGV,False,4
72,Forbidden Fairytale,"$289,010",1731,289010.0,2025-03-21,CJ Entertainment,False,3
73,Together,"$269,128",1202,311545.0,2025-08-14,CJ Entertainment,False,8
74,"Them, Behind the Door","$253,240",1695,352255.0,,CJ Entertainment,False,
75,Howl's Moving Castle,"$232,444",1738,400730.0,2025-12-26,Paramount Pictures International,False,12
76,Lembayung,"$219,319",1628,219319.0,2025-01-10,Galaxy Studio,False,1
77,Dolphin Boy 2,"$203,306",414,203306.0,2025-10-03,CGV,False,10
78,Ballerina,"$201,367",473,201367.0,2025-06-06,CGV,False,6
79,Noise,"$190,841",862,196346.0,2025-07-17,CGV,False,7
80,Whisper of the Heart,"$186,703",1855,186703.0,2025-01-10,unknown,False,1
81,One Battle After Another,"$184,854",470,184854.0,2025-09-26,CGV,False,9
82,Panor,"$182,325",1266,182325.0,2025-04-11,CGV,False,4
83,Chot Don,"$179,416",1763,194264.0,2025-08-07,Galaxy Studio,False,8
84,Call Me By Fire Movie Concert,"$166,902",128,469212.0,2025-05-16,Galaxy Studio,False,5
